repo,pr_number,convo_start_id,review_category,category,comment,emotion,question,evaluation,suggestion,grade,human_emotion,human_question,human_evaluation,human_suggestion
TanStack/router,5634,2463956903,Agent_Review_Human,ARH,"_️ Potential issue_ | _ Critical_

**Critical: @tanstack/solid-query-devtools@5.90.0 does not exist in the npm registry.**

Like the issue in `e2e/solid-start/query-integration/package.json`, the latest available version of @tanstack/solid-query-devtools is 5.40.0. Installing `^5.90.0` will fail.



Update line 15 to use the correct version:

```diff
-    ""@tanstack/solid-query-devtools"": ""^5.90.0"",
+    ""@tanstack/solid-query-devtools"": ""^5.40.0"",
```

<!-- suggestion_start -->

<details>
<summary> Committable suggestion</summary>

> ️ **IMPORTANT**
> Carefully review the code before committing. Ensure that it accurately replaces the highlighted code, contains no missing lines, and has no issues with indentation. Thoroughly test & benchmark the code to ensure it meets the requirements.

```suggestion
    ""@tanstack/solid-query"": ""^5.90.0"",
    ""@tanstack/solid-query-devtools"": ""^5.40.0"",
```

</details>

<!-- suggestion_end -->

<details>
<summary> Prompt for AI Agents</summary>

```
In e2e/solid-start/basic-solid-query/package.json around lines 14 to 15, the
dependency ""@tanstack/solid-query-devtools"" is pinned to ""^5.90.0"" which does
not exist in the npm registry; change that version to the latest published
5.40.0 (e.g., ""@tanstack/solid-query-devtools"": ""^5.40.0"") so installation
succeeds.
```

</details>

<!-- This is an auto-generated comment by CodeRabbit -->",1,0,1,1,IV,,,,
microsoft/onnxscript,2331,2114209067,Agent_Review_Human,ARH,"This class flips `transBatchB` but does not override `check()`, so it always matches and rewrites unconditionally. Add a `check` implementation analogous to `TransposeFusedMatMulWithFlippedBatch1` to verify permutation patterns before rewriting.",1,0,1,1,IV,1,0,1,1
ray-project/ray,58263,2476028561,Agent_Review_Human,ARH,"### Bug: Meta Removal Causes KeyError

<!-- **High Severity** -->

<!-- DESCRIPTION START -->
The `remove_managed_meta_nixl` method can raise a `KeyError`. This happens when a `meta`'s reference count drops to zero, causing it to be removed from `_managed_meta_counts_nixl`, but the method then tries to access the removed key in its return statement.
<!-- DESCRIPTION END -->

<!-- LOCATIONS START
python/ray/experimental/gpu_object_manager/gpu_object_store.py#L298-L306
LOCATIONS END -->
<a href=""https://cursor.com/open?data=eyJhbGciOiJSUzI1NiIsInR5cCI6IkpXVCIsImtpZCI6ImJ1Z2JvdC12MSJ9.eyJ2ZXJzaW9uIjoxLCJ0eXBlIjoiQlVHQk9UX0ZJWF9JTl9DVVJTT1IiLCJkYXRhIjp7InJlZGlzS2V5IjoiYnVnYm90OjM1ZmRhMTY0LTk3N2YtNDg0MC05MmFiLTFhYTY5ZDk2MmM3NyIsImVuY3J5cHRpb25LZXkiOiJ6alNsS2ZrbERjdmpjUllfVTk5OGUzOUVtcEU1MUpoTnZZZFBKZ0UzM0o4IiwiYnJhbmNoIjoiZml4X3FsIn0sImlhdCI6MTc2MTc4MjQ4MSwiZXhwIjoxNzYyMzg3MjgxfQ.IPIpZ1FzzQ5N5kF-bCy0nblAqJ2yieGmtcFSUl1L2g5CVHEM90tNz4wL-XQrU5rR53s-HaY675EEAcncybYAhmsFqz7KlZHZG9VLcUslVBaFtEpw0bE3usscv6E9jZaQM24yMVd8J0BqvT7Y40moifI8rwHQxB3jd--Mm_YdRziR-A6tTRkO3BJlQ9yx4vXvIH5AT_8hbxbpN8AUEJ_b5cEGTvQhWXxq4-GR-zDWIiTOpGmyddBaOr1NxF5a0qmVNzoqQg_J-SG8RqTOu3scgjC_p5qHGGRKK44sjMsqEw-UdQnr90y_-trj3_-r2df3JGbUVyTXfv4oh6aG5qcUXA""><picture><source media=""(prefers-color-scheme: dark)"" srcset=""https://cursor.com/fix-in-cursor-dark.svg""><source media=""(prefers-color-scheme: light)"" srcset=""https://cursor.com/fix-in-cursor-light.svg""><img alt=""Fix in Cursor"" src=""https://cursor.com/fix-in-cursor.svg""></picture></a>&nbsp;<a href=""https://cursor.com/agents?data=eyJhbGciOiJSUzI1NiIsInR5cCI6IkpXVCIsImtpZCI6ImJ1Z2JvdC12MSJ9.eyJ2ZXJzaW9uIjoxLCJ0eXBlIjoiQlVHQk9UX0ZJWF9JTl9XRUIiLCJkYXRhIjp7InJlZGlzS2V5IjoiYnVnYm90OjM1ZmRhMTY0LTk3N2YtNDg0MC05MmFiLTFhYTY5ZDk2MmM3NyIsImVuY3J5cHRpb25LZXkiOiJ6alNsS2ZrbERjdmpjUllfVTk5OGUzOUVtcEU1MUpoTnZZZFBKZ0UzM0o4IiwiYnJhbmNoIjoiZml4X3FsIiwicmVwb093bmVyIjoicmF5LXByb2plY3QiLCJyZXBvTmFtZSI6InJheSIsInByTnVtYmVyIjo1ODI2MywiY29tbWl0U2hhIjoiMDdlMzE0NzNmNGI2YWU5NzdkYmZlNTg1NTc3OTQwMmI3YTUzNWZlYSJ9LCJpYXQiOjE3NjE3ODI0ODEsImV4cCI6MTc2MjM4NzI4MX0.gjAecQMjJChKZEPgVaSS3xQq0wc7dJJGH4dky-BWv514sxujJ32_wRotTL6_QWqPZbVQB7VgWdoNAVlFqRzwETp2lcCEwhAtKvZJWlxWJ3FogyJUkRxmYOotR_LrvZekbB3hDk37nQ-abvjsr75ITZdkNxVTHAkACi4Eo-dz6Lj2enEpuuZA_QnEck3jzutzV5FPg2AdwnQvxULpKI1No-iSYvQAy4JNSKC6x5f7KOMhsX_lhDBJAXEtYN1z6WoxTI55SAxLM3HWkc0lfByD2O_uevyr9EKr99UMzUnSVv08ml1nfEol9D-hjZ3u0vNcA-2iKAD3X1m5mfMIdohD6w""><picture><source media=""(prefers-color-scheme: dark)"" srcset=""https://cursor.com/fix-in-web-dark.svg""><source media=""(prefers-color-scheme: light)"" srcset=""https://cursor.com/fix-in-web-light.svg""><img alt=""Fix in Web"" src=""https://cursor.com/fix-in-web.svg""></picture></a>

",1,0,1,0,III,,,,
OneKeyHQ/app-monorepo,8196,2300535482,Agent_Review_Human,ARH,"_️ Refactor suggestion_

**Add guardrails: allowlist message types and fail closed**

Right now any IUnsignedMessage can be auto-signed if the account is HD and a cached password exists. Restrict auto-sign to the exact message types used in this flow (ETH PERSONAL_SIGN, BTC ECDSA) and return null on anything else. Also wrap signMessage in try/catch and normalize the return to a string to keep the UI path consistent.


```diff
+import { EMessageTypesBtc, EMessageTypesEth } from '@onekeyhq/shared/types/message';
@@
   async autoSignBoundReferralCodeMessageByHDWallet({
@@
   }) {
     if (!accountUtils.isHdAccount({ accountId })) {
       return null;
     }
-    const cachedPassword =
-      await this.backgroundApi.servicePassword.getCachedPassword();
-    if (!cachedPassword) {
+    const cachedPassword = await this.backgroundApi.servicePassword.getCachedPassword();
+    if (!cachedPassword) {
       return null;
     }
 
-    const result = await this.backgroundApi.serviceSend.signMessage({
-      unsignedMessage,
-      networkId,
-      accountId,
-    });
-    return result;
+    const allowed =
+      unsignedMessage?.type === EMessageTypesEth.PERSONAL_SIGN ||
+      unsignedMessage?.type === EMessageTypesBtc.ECDSA;
+    if (!allowed) {
+      return null;
+    }
+
+    try {
+      const res = await this.backgroundApi.serviceSend.signMessage({
+        unsignedMessage,
+        networkId,
+        accountId,
+      });
+      // Normalize to string | null
+      return typeof res === 'string' ? res : res?.signature ?? null;
+    } catch {
+      return null;
+    }
   }
```

<!-- suggestion_start -->

<details>
<summary> Committable suggestion</summary>

> ️ **IMPORTANT**
> Carefully review the code before committing. Ensure that it accurately replaces the highlighted code, contains no missing lines, and has no issues with indentation. Thoroughly test & benchmark the code to ensure it meets the requirements.

```suggestion
// At top of file, alongside other imports
import { EMessageTypesBtc, EMessageTypesEth } from '@onekeyhq/shared/types/message';

  @backgroundMethod()
  async autoSignBoundReferralCodeMessageByHDWallet({
    unsignedMessage,
    networkId,
    accountId,
  }: {
    unsignedMessage: IUnsignedMessage;
    networkId: string;
    accountId: string;
  }) {
    if (!accountUtils.isHdAccount({ accountId })) {
      return null;
    }
    const cachedPassword = await this.backgroundApi.servicePassword.getCachedPassword();
    if (!cachedPassword) {
      return null;
    }

    // Only allow ETH personal_sign or BTC ECDSA messages
    const allowed =
      unsignedMessage?.type === EMessageTypesEth.PERSONAL_SIGN ||
      unsignedMessage?.type === EMessageTypesBtc.ECDSA;
    if (!allowed) {
      return null;
    }

    try {
      const res = await this.backgroundApi.serviceSend.signMessage({
        unsignedMessage,
        networkId,
        accountId,
      });
      // Normalize to string | null
      return typeof res === 'string' ? res : res?.signature ?? null;
    } catch {
      // Fail closed on any signing error
      return null;
    }
  }
```

</details>

<!-- suggestion_end -->

<details>
<summary> Prompt for AI Agents</summary>

```
In packages/kit-bg/src/services/ServiceReferralCode.ts around lines 335-360,
tighten auto-sign behavior: only allowlist specific unsigned message types (ETH
PERSONAL_SIGN and BTC ECDSA) and immediately return null for any other type
(fail closed); wrap the backgroundApi.serviceSend.signMessage call in a
try/catch and return null on error; when successful, normalize the returned
signature to a string before returning so the UI always receives a consistent
string result.
```

</details>

<!-- fingerprinting:phantom:medusa:chinchilla -->

<!-- This is an auto-generated comment by CodeRabbit -->",1,0,1,1,IV,,,,
oven-sh/bun,24112,2464285421,Agent_Review_Human,ARH,"_ Nitpick_ | _ Trivial_

**Optional: Remove redundant `.enabled = true` assignment.**

The config is only created inside the `if (this.ctx.runtime_options.cpu_prof.enabled)` block, so explicitly setting `.enabled = true` is redundant. Consider either using `cpu_prof_opts.enabled` directly or omitting the field from the struct initialization since the presence of the config (non-null) already indicates profiling is enabled.



```diff
 vm.cpu_profiler_config = CPUProfiler.CPUProfilerConfig{
-    .enabled = true,
+    .enabled = cpu_prof_opts.enabled,
     .name = cpu_prof_opts.name,
     .dir = cpu_prof_opts.dir,
 };
```

Or simplify further if the `enabled` field is unnecessary:

```zig
vm.cpu_profiler_config = CPUProfiler.CPUProfilerConfig{
    .name = cpu_prof_opts.name,
    .dir = cpu_prof_opts.dir,
};
```

<details>
<summary> Prompt for AI Agents</summary>

```
In src/bun.js.zig around lines 267 to 277, the struct initialization redundantly
sets .enabled = true inside a branch that only runs when
this.ctx.runtime_options.cpu_prof.enabled is true; remove the redundant field
(or set it from cpu_prof_opts.enabled) so the CPUProfiler.CPUProfilerConfig is
initialized without the hardcoded .enabled = true (e.g., omit the enabled field
or assign .enabled = cpu_prof_opts.enabled) and keep the rest of the fields
(name, dir) unchanged.
```

</details>

<!-- This is an auto-generated comment by CodeRabbit -->

 Addressed in commit 7c31673",1,0,1,1,IV,,,,
streamlit/streamlit,12481,2337433348,Agent_Review_Human,ARH,"This complex shell command with multiple sed expressions is difficult to maintain and debug. Consider breaking this into separate commands or using a more readable approach with individual sed calls for each pattern replacement.
```suggestion
              | sudo xargs -0 sed -i -E 's|mirror\+file:/etc/apt/apt-mirrors.txt|http://archive.ubuntu.com/ubuntu|g'
            sudo find /etc/apt -maxdepth 2 -type f \( -name '*.list' -o -name '*.sources' -o -name 'sources.list' \) -print0 \
              | sudo xargs -0 sed -i -E 's|mirror://mirrors.ubuntu.com/mirrors.txt|http://archive.ubuntu.com/ubuntu|g'
            sudo find /etc/apt -maxdepth 2 -type f \( -name '*.list' -o -name '*.sources' -o -name 'sources.list' \) -print0 \
              | sudo xargs -0 sed -i -E 's|http://azure.archive.ubuntu.com/ubuntu|http://archive.ubuntu.com/ubuntu|g'
            sudo find /etc/apt -maxdepth 2 -type f \( -name '*.list' -o -name '*.sources' -o -name 'sources.list' \) -print0 \
              | sudo xargs -0 sed -i -E 's|http://security.ubuntu.com/ubuntu|http://archive.ubuntu.com/ubuntu|g'
```",1,0,1,1,IV,,,,
instructure/canvas-android,3075,2161124559,Agent_Review_Human,ARH,"`onErrorDismissed()` is called on every recomposition even when there's no error, which may prematurely clear the error state. Move this call inside the `if (uiState.errorMessage != null)` block so it only runs after showing an actual error.
```suggestion
            uiState.onErrorDismissed()
        }
```",1,0,1,1,IV,,,,
snakemake/snakemake-wrappers,4452,2318850753,Agent_Review_Human,ARH,"_️ Refactor suggestion_

**Enable intermediates also when only intersect is requested**

If a workflow requests only intersect output (without thresholds/regions), pyEffGenomeSize may not emit it unless --saveIntermediates is set. Add intersect to the condition and avoid re-fetching it later.

```diff
-thresholds = snakemake.output.get(""thresholds"")
-regions = snakemake.output.get(""regions"")
-if thresholds or regions:
-    extra += "" --saveIntermediates ""
+thresholds = snakemake.output.get(""thresholds"")
+regions = snakemake.output.get(""regions"")
+intersect = snakemake.output.get(""intersect"")
+if thresholds or regions or intersect:
+    extra += "" --saveIntermediates ""
@@
-    intersect = snakemake.output.get(""intersect"")
```


Also applies to: 41-41

<details>
<summary> Tools</summary>

<details>
<summary> Ruff (0.12.2)</summary>

21-21: Undefined name `snakemake`

(F821)

---

22-22: Undefined name `snakemake`

(F821)

</details>

</details>

<details>
<summary> Prompt for AI Agents</summary>

```
In bio/tmb/pyeffgenomesize/wrapper.py around lines 21-25 (and also apply the
same change at line ~41), the code only enables --saveIntermediates when
thresholds or regions outputs are requested; add checking for the 'intersect'
output as well (e.g. include snakemake.output.get(""intersect"") in the condition)
so --saveIntermediates is set when intersect is requested, and remove any later
redundant re-fetching of intersect to use the same checked variable.
```

</details>

<!-- fingerprinting:phantom:poseidon:chinchilla -->

<!-- This is an auto-generated reply by CodeRabbit -->",1,0,1,1,IV,,,,
compiler-explorer/compiler-explorer,7854,2160204285,Agent_Review_Human,ARH,"[nitpick] Consider adding a brief inline comment to explain the purpose of using describe.skipIf(skipExpensiveTests) for future maintainers, especially in the context of pre-commit performance improvements.
```suggestion

// Skip expensive test cases to improve performance during pre-commit checks.
```",1,0,0,1,III,,,,
Azure/azure-cli,32136,2356090182,Agent_Review_Human,ARH,[nitpick] The condition logic is complex and hard to read. Consider extracting this into a helper function like `is_simple_key_value_pair(s)` to improve readability and maintainability.,1,0,1,1,IV,,,,
