id,repo,pr_number,convo_start_id,review_category,feed_type(llm_label),conf_score,feedback_type(human_label),comment_body,LOC,LOC_no_blank,token_init_comment,human_notes
1,Azure/azure-sdk-for-js,36250,2437491380,Human_Review_Agent,Social Communication,8.0,Social Communication,seems like it actually fixed some bad copypasta here! good bot,8.0,9,15,
2,shapeshift/web,10491,2359074992,Human_Review_Human,No feedback,,No feedback, ,5.0,9,1,
3,PalisadoesFoundation/talawa-admin,4615,2504336526,Agent_Review_Human,Testing,9.0,Defect Detection,"_️ Potential issue_ | _ Major_

**Exercise pagination interactions**

The first two pagination specs (should handle page change / should handle rows per page change) only render the list and assert the initial statethey never click the next-page control or change the rows-per-page select. As written theyd still pass if `handleChangePage`/`handleChangeRowsPerPage` were broken. Please drive the actual controls (e.g., click the Go to next page button, change the rows-per-page select) and assert that new items appear / the page resets, or drop the dead tests.

<details>
<summary> Prompt for AI Agents</summary>

```
In src/screens/PluginStore/PluginStore.spec.tsx around lines 931 to 997, the
pagination tests only render the list without exercising controls; update the
""should handle page change"" test to simulate clicking the pagination ""next page""
control (e.g., await userEvent.click(screen.getByRole('button', { name: /go to
next page|next/i }))) and then assert that items from the next page (e.g.,
plugin-list-item-test-plugin-5) are in the document; update the ""should handle
rows per page change"" test to simulate changing the rows-per-page select (e.g.,
await userEvent.selectOptions(screen.getByLabelText(/rows per page/i) or
getByRole('combobox'), '10') or fireEvent.change with value '10'), then assert
the list updates (new set of items appear and page resets), or if you prefer
remove these specs entirely if you do not want to simulate interactions.
```

</details>

<!-- fingerprinting:phantom:medusa:sabertoothed -->

<!-- This is an auto-generated comment by CodeRabbit -->

 Addressed in commit d02d84d",73.0,122,372,
4,DataDog/datadog-agent,41408,2393928413,Human_Review_Human,Testing,9.0,Testing,Consider adding another test case where `ReplaceBindParameter` is false.,18.0,9,14,
5,spiceai/spiceai,7666,2464135136,Agent_Review_Human,Defects,9.0,Defects,"The `fallback_to_new_context` method is marked `pub(crate)` but is called from outside this crate in `runtime/src/datafusion/builder.rs` via the `new` constructor parameter. Either this method should be `pub` or the builder pattern should be adjusted to pass the flag through the constructor.
```suggestion
    pub fn fallback_to_new_context(mut self) -> Self {
```",24.0,9,80,
6,getsentry/sentry,102520,2491025405,Human_Review_Human,Understanding,8.0,Understanding,"There's also a request that occurs in here for `events-timeseries` and iirc George is monitoring drift between the two requests in this hook, does that endpoint support these top level fields? If so, we may want to push these props through to that endpoint as well so his comparison doesn't start going haywire",5.0,10,64,
7,dotnet/maui,27517,1945108339,Human_Review_Human,Code Improvement,8.0,Code Improvement,"This has never been enabled since we started using this testing harness, so I'm just going to delete it for now.",7.0,9,24,
8,bazelbuild/bazel-central-registry,5992,2379927331,Agent_Review_Human,External Impact,9.0,External Impact,"![critical](https://www.gstatic.com/codereviewagent/critical.svg)

The `abseil-cpp` dependency version `20250127.1` is likely too new and will cause issues with transitive dependencies. The `re2` module (version `2024-07-02.bcr.1`), a dependency of `googletest`, depends on `abseil-cpp@20240116.2`. With your change, `re2` would be forced to build against `abseil-cpp@20250127.1`. This represents a major version change for Abseil (from a 2024 LTS to a future 2025 LTS) and is highly likely to introduce breaking changes, leading to build or runtime failures.

To ensure stability, please use a version of `abseil-cpp` that is compatible with all transitive dependencies. Using the same version as `re2` (`20240116.2`) would be a safer choice, provided it's compatible with `googletest@1.17.0`.

```suggestion
    version = ""20240116.2"",
```",44.0,9,237,
9,redpanda-data/redpanda,27826,2407703817,Human_Review_Human,Understanding,8.0,Code Improvement,I would expect this to be next to `add_batches_reconciled`?,23.0,8,16,
10,Automattic/wp-calypso,102932,2073710410,Human_Review_Human,No feedback,,No feedback,,5.0,6,0,
11,DataDog/datadog-agent,36869,2087631440,Human_Review_Human,No feedback,,No feedback, ,4.0,8,1,
12,wso2/carbon-identity-framework,7211,2289900741,Agent_Review_Human,External Impact,9.0,External Impact,"The maven-antrun-plugin version 1.1 is very outdated (released in 2006). Consider upgrading to a more recent version like 3.1.0 for better security, performance, and compatibility with modern Maven versions.
```suggestion
                <version>3.1.0</version>
```",75.0,9,66,
13,thorvg/thorvg,3796,2357478022,Human_Review_Human,Misc,7.0,Misc,--,4.0,8,1,
14,RT-Thread/rt-thread,10781,2420555300,Human_Review_Human,Social Communication,8.0,Social Communication,"这是正确的用法， @Copilot, @supperthomas ",1.0,8,17,
15,Azure/azure-sdk-for-net,49826,2151210517,Human_Review_Human,External Impact,8.0,Defect Detection,"I believe you have met build failures about the apicompat and found out removing this would ""fix"" the error.
But this is only hiding the issue instead of resolving it.
Please revert this back and let the pipeline fails. We will find other ways to introduce real fixes to those errors.",6.0,7,59,
16,ray-project/ray,55663,2310872123,Human_Review_Human,Misc,7.0,Misc,"```suggestion
```",41.0,9,5,
17,microsoft/typespec,7651,2274845713,Human_Review_Agent,Knowledge Transfer,8.0,Knowledge Transfer,@copilot the update needs to follow these instructions https://github.com/microsoft/typespec/blob/main/.github/prompts/testserver-generation.md,5.0,8,28,
18,ray-project/ray,57863,2441452869,Human_Review_Human,Understanding,8.0,Understanding,Same here - is this supposed to be cuda:2?,95.0,9,12,
19,tinymce/tinymce,10539,2286671624,Human_Review_Human,Understanding,9.0,Understanding,What's this code doing? It doesn't seem specific to textareas. Isn't `ref` always a function? Or is this a sneaky hack that I should consider a code smell?,68.0,12,39,
20,novuhq/novu,8641,2185483788,Human_Review_Human,No feedback,,No feedback,,7.0,10,0,
21,PalisadoesFoundation/talawa-api,3567,2324676794,Agent_Review_Human,Code Improvement,9.0,Code Improvement,"_ Nitpick (assertive)_

**Use null for absent PluginManager to match API contract**

getPluginManagerInstance returns PluginManager | null. Returning undefined here can mask bugs. Prefer null for fidelity.


```diff
 (getPluginManagerInstance as ReturnType<typeof vi.fn>).mockReturnValue(
-  undefined,
+  null,
 );
```

<!-- suggestion_start -->

<details>
<summary> Committable suggestion</summary>

> ️ **IMPORTANT**
> Carefully review the code before committing. Ensure that it accurately replaces the highlighted code, contains no missing lines, and has no issues with indentation. Thoroughly test & benchmark the code to ensure it meets the requirements.

```suggestion
	it(""handles plugin manager absent"", async () => {
		(getPluginManagerInstance as ReturnType<typeof vi.fn>).mockReturnValue(
			null,
		);
		(removePluginDirectory as ReturnType<typeof vi.fn>).mockResolvedValue(
			undefined,
		);
		const ctx = makeCtx();
		const args = { input: validInput };
		const result = (await resolver({}, args, ctx)) as typeof existingPlugin;
		expect(result.pluginId).toBe(existingPlugin.pluginId);
		expect(removePluginDirectory).toHaveBeenCalledWith(existingPlugin.pluginId);
	});
```

</details>

<!-- suggestion_end -->

<details>
<summary> Prompt for AI Agents</summary>

```
In test/graphql/types/Mutation/plugin/deletePlugin.test.ts around lines 203 to
215, the test mocks getPluginManagerInstance to return undefined but the real
API returns PluginManager | null; update the mock to return null instead of
undefined to match the contract (leave the removePluginDirectory mock as-is),
ensuring the test exercises the code path for an absent PluginManager
accurately.
```

</details>

<!-- fingerprinting:phantom:medusa:chinchilla -->

<!-- This is an auto-generated comment by CodeRabbit -->",140.0,20,392,
